"","PC1","PC2","PC3","PC4"
"365",-2.25577172574832,-1.93388530105971,-0.292547367061468,3.22149252214101
"292",0.121568425582016,-1.00977321328768,1.41486563596594,1.61813550463877
"134",-2.86265157640539,1.98271072912933,2.92278430536199,3.26702879303732
"503",-0.263513478647565,-0.259924909950751,0.154267527450554,-2.8603017493754
"577",-3.27894922987676,-0.96773449908397,-1.63572347066707,1.47560285561887
"430",-0.891027386311806,0.533986897632006,0.136953819980938,-3.4299326753729
"336",-2.86324445715154,-0.670943326941864,1.31800366043455,-0.913639002446466
"288",-3.45556541057969,-2.27053384234104,-1.08967161526463,0.694058671716491
"304",5.67974782480445,-1.25560543904366,2.27901919444977,0.71833661956889
"470",-0.468922285492592,0.0584527880471174,-2.42016455769877,-1.76218094454166
"550",-1.85920720439419,1.79956434371993,1.88690355125621,0.214155040355338
"486",0.01139317582481,-0.656069265436267,0.370743738795668,-2.08534224535236
"78",-0.0499295468593309,-1.59215320479746,-1.72901112954746,-1.24928319528913
"91",-0.53731577009899,2.57666064884882,-1.82225955325596,-1.44633000851393
"325",1.64752825624766,-1.33137694815797,2.41887821999553,-0.403036455249775
"248",1.33875604929674,-0.489386224143701,-0.45756586991577,-0.0375673491347114
"19",0.137809986501991,0.628558592747526,-3.05652934670561,0.259647775624862
"51",-3.70751124811645,-0.0465273321550817,-3.42147858098769,-0.84657348215182
"272",-2.21640839812013,-0.888277433570177,-0.262414243662246,0.994908619057653
"260",-1.39246654734686,2.47930522262215,-0.744974501464327,1.5310634278434
"35",1.45005879185472,-3.60090420648169,0.589627829162708,0.36265944223465
"385",3.90620991151384,4.55319470802536,3.18784018704146,-0.1695832836462
"540",-0.799365020378173,-0.28009989747072,0.282469503999399,-1.96918435571262
"528",8.950919007616,-1.28885232274086,0.102331367822695,1.0680081223393
"670",-2.63840719365814,0.304389032536528,1.90277110597379,0.263545993580971
"517",-1.38418545029658,1.04219380265529,-0.320189354047429,-0.163057451347665
"431",9.38327301461307,3.0300993341523,-0.618456746412641,-0.0264130169341809
"322",-0.713509154068458,0.430346857050246,-2.6554902281214,1.10074353510813
"677",-4.05704637636259,1.92156706975074,3.19785426449018,3.04154457330656
"454",-1.12416349579468,-2.13733193340108,1.63408095318276,-0.549668890204574
"49",5.4197656559711,0.612211997025236,-2.10454231719749,1.93863691937034
"346",1.00924937069841,2.04747377629687,1.01243019557403,0.766969285058081
"164",-0.266902561945327,-0.896754316221292,-2.30536518154557,-0.915769097390803
"354",-2.53089772192635,8.07504532654452,0.180579767298371,0.978189785447251
"553",-2.05832812186038,-3.75694204494942,1.92095507262221,1.28005515310702
"462",4.01121723563818,-3.07593203773562,0.465944223475553,-1.33509476750494
"485",0.598376650771144,-1.7499755237037,1.51661568467899,-0.493570808239538
"411",6.1926912464519,-1.11663848906184,0.195763594059089,-0.524166608795264
"398",1.40611497028363,-1.81707304544562,2.11861872124099,0.296561881109572
"147",1.14027201879372,2.03156471202035,0.762620131369211,-3.10063518589247
"172",-3.22845576583071,-2.21540890461678,1.45186740805448,0.164814710746355
"341",-0.327286961784943,0.896011351936447,-1.16592842158742,0.580836860681053
"339",1.00844032146842,0.0883554545202984,-0.96692094193616,1.67543962056584
"621",1.03181820546231,0.249330275576134,-0.910798849679685,-0.448932915672609
